"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300"
"1",107.17,130.14,134.92,137.23,127.69,117.58,99.33,127.69,96.74,81.52,86.5,104.55,104.55,104.55,122.69,127.69,134.92,114.99,113.88,98.59,102.16,78.52,72.9,57.23,49.27,44.47,45.84,40.39,44.84,47.18,45.4,47.7,49.14,54.05,56.4,63.37,76.3,84.68,86.71,105.5,112.98,118.47,125.74,104.83,102.24,92.08,89.61,92.08,115.26,120.45,137.73,128.08,133,99.66,94.58,77.86,87.17,69.32,53.46,65.39,82.42,84.78,94.58,92.08,81.73,82.68,94.28,89.02,82.3,81,75.29,69.58,64.97,44.66,41.6,38.49,35.44,32.16,29.18,25.83,22.89,19.88,16.72,13.75,10.3,6.63,7.18,7.33,6.77,6.55,6.57,6.53,6.57,6.83,6.72,6.83,6.72,6.96,6.89,7.1,6.83,7.03,6.89,9.92,12.34,15.21,17.94,20.46,22.89,25.6,28.34,30.98,33.71,36.42,39.22,41.87,45.38,43.26,41.84,39.92,38.34,35.23,32.56,30.59,29.14,28.09,24.68,23.8,21.79,22.24,18.52,19.64,20.39,20.75,22.19,18.89,20.39,19.64,17.76,14.76,14.76,14.04,13.34,13.34,10.83,11.11,13,14.04,14.4,12.02,12.34,12.67,10.83,16.75,21.09,26.32,30.8,34.37,38.14,41.41,59.76,68.26,69.08,77.69,85.58,100.9,101.89,120.6,123.64,114.84,124.94,131.34,128.08,135.39,128.08,128.08,123.02,112.65,128.08,146.47,142.24,146.47,146.47,152.22,162.2,161.1,164.03,166.43,166.43,166.43,164.76,164.76,164.76,163.18,164.76,153.27,146.11,134.64,122.22,114.14,95.83,80.26,74.9,66.06,46.21,45,43.65,41.33,38.53,37.91,36.58,35.88,34.36,32.62,31.79,29.54,29.09,27.05,23.63,21.66,18.52,20.02,20.39,14.76,17.38,18.52,17.38,16.24,14.4,14.04,15.5,18.89,17.76,16.62,17,15.5,14.04,14.88,16.86,19.69,25.06,28.1,31.9,33.15,36.33,37.29,39.58,41.73,44.58,49.62,53.68,48.37,45.03,45.72,49.48,45.08,38.78,35.98,33,34.09,35.95,32.54,26.81,26.39,14.83,16.2,14.83,14.83,20.24,17.71,16.2,27.57,38.58,37.04,32.7,30.05,30.05,24.18,26.39,37.04,48.82,50.7,50.7,52.62,54.59,48.99,59.15,50.39,54.48,54.69,45.51,43.48,41.49,39.61,37.89,37.3,35.73,34.2,31.22,30.8
"2",104.55,127.69,132.55,134.92,125.21,114.99,96.74,125.21,94.15,79.07,83.99,104.55,101.94,104.55,120.14,125.21,132.55,112.39,111.44,98.59,99.98,76.56,71.12,55.82,48.15,43.58,45.01,39.84,44.24,46.62,45,47.32,48.83,54.35,56.89,64.13,77.3,85.89,88.17,107.03,114.7,120.45,127.92,107.43,104.83,94.58,92.08,94.58,117.86,123.02,140.02,130.56,135.39,102.24,97.11,80.12,89.61,71.38,54.99,67.33,84.78,87.17,97.11,94.58,83.92,84.71,96.2,90.72,83.77,82.23,76.3,70.36,65.52,44.67,41.62,38.51,35.46,32.19,29.22,25.87,22.94,19.94,16.78,13.81,10.37,6.67,7.25,7.41,6.83,6.57,6.59,6.55,6.59,6.89,6.77,6.89,6.77,7.03,6.96,7.18,6.89,7.1,6.96,10,12.4,15.27,18,20.51,22.92,25.63,28.36,30.98,33.7,36.42,39.24,41.88,45.42,43.32,41.94,40.04,38.48,35.4,32.75,30.8,29.37,28.35,24.97,24.11,22.12,22.58,18.89,20.02,20.75,21.12,22.54,19.27,20.75,20.02,18.14,15.13,15.13,14.4,13.69,13.69,11.11,11.41,13.34,14.4,14.76,12.34,12.67,13,11.11,17.05,21.36,26.57,31.01,34.53,38.27,41.49,60.07,68.68,69.78,78.53,86.56,101.7,103.1,121.29,124.8,116.71,126.89,133.46,130.56,137.73,130.56,130.56,125.56,115.26,130.56,148.48,144.39,148.48,148.48,153.96,163.18,162.2,164.76,166.53,166.53,166.53,165.37,165.37,165.37,164.03,165.37,154.05,145.98,135.09,122.93,114.55,96.78,81.22,75.62,66.59,46.25,45.07,43.73,41.44,38.66,38.05,36.75,36.06,34.56,32.84,32.02,29.8,29.36,27.34,23.95,22.01,18.89,20.39,20.75,15.13,17.76,18.89,17.76,16.62,14.76,14.4,15.87,19.27,18.14,17,17.38,15.87,14.4,15.18,17.13,19.94,25.33,28.36,32.13,33.35,36.5,37.44,39.71,41.83,44.65,49.4,53.25,47.95,44.6,45.14,48.69,44.29,38.07,35.25,32.25,33.18,34.85,31.44,25.79,25.27,14.19,15.49,14.19,14.19,19.36,16.93,15.49,26.39,37.04,35.55,31.35,28.78,28.78,23.13,25.27,35.55,47,48.82,48.82,50.7,52.62,47.43,57.62,49.34,53.61,54.09,45.55,43.54,41.57,39.71,38.01,37.46,35.9,34.39,31.44,31.03
"3",104.55,125.21,130.14,132.55,122.69,112.39,94.15,122.69,91.58,76.65,81.52,101.94,99.33,101.94,117.58,122.69,130.14,109.78,108.98,96.26,97.79,74.62,69.36,54.43,47.05,42.71,44.2,39.3,43.67,46.07,44.61,46.96,48.53,54.65,57.39,64.9,78.29,87.09,89.63,108.51,116.39,122.38,130.06,110.04,107.43,97.11,94.58,97.11,120.45,125.56,142.24,133,137.73,104.83,99.66,82.42,92.08,73.48,56.57,69.32,87.17,89.61,99.66,97.11,86.14,86.78,98.13,92.42,85.24,83.46,77.3,71.13,66.06,44.68,41.63,38.53,35.49,32.22,29.26,25.91,22.98,19.99,16.84,13.88,10.44,6.72,7.33,7.48,6.89,6.59,6.63,6.57,6.63,6.96,6.83,6.96,6.83,7.1,7.03,7.25,6.96,7.18,7.03,10.07,12.46,15.33,18.06,20.56,22.95,25.65,28.39,30.99,33.7,36.42,39.26,41.88,45.46,43.39,42.03,40.16,38.62,35.56,32.93,31.01,29.61,28.61,25.25,24.42,22.45,22.92,19.27,20.39,21.12,21.48,22.89,19.64,21.12,20.39,18.52,15.5,15.5,14.76,14.04,14.04,11.41,11.71,13.69,14.76,15.13,12.67,13,13.34,11.41,17.35,21.63,26.82,31.22,34.7,38.4,41.57,60.37,69.09,70.46,79.35,87.51,102.45,104.27,121.91,125.89,118.54,128.79,135.51,133,140.02,133,133,128.08,117.86,133,150.39,146.47,150.39,150.39,155.6,164.03,163.18,165.37,166.5,166.5,166.5,165.85,165.85,165.85,164.76,165.85,154.72,145.75,135.44,123.56,114.9,97.69,82.16,76.32,67.12,46.3,45.13,43.81,41.55,38.79,38.2,36.91,36.23,34.75,33.05,32.25,30.05,29.62,27.63,24.28,22.35,19.27,20.75,21.12,15.5,18.14,19.27,18.14,17,15.13,14.76,16.24,19.64,18.52,17.38,17.76,16.24,14.76,15.49,17.41,20.21,25.61,28.61,32.35,33.55,36.67,37.59,39.83,41.92,44.72,49.19,52.83,47.54,44.17,44.58,47.91,43.52,37.38,34.54,31.53,32.3,33.79,30.37,24.81,24.18,13.59,14.83,13.59,13.59,18.51,16.2,14.83,25.27,35.55,34.1,30.05,27.57,27.57,22.13,24.18,34.1,45.22,47,47,48.82,50.7,45.91,56.13,48.31,52.75,53.5,45.6,43.6,41.66,39.81,38.14,37.61,36.08,34.59,31.65,31.27
"4",101.94,122.69,127.69,130.14,120.14,109.78,91.58,120.14,89.03,74.27,79.07,99.33,96.74,99.33,114.99,120.14,127.69,107.17,106.51,93.94,95.6,72.71,67.63,53.08,45.98,41.87,43.42,38.79,43.11,45.55,44.23,46.61,48.23,54.95,57.9,65.67,79.28,88.27,91.07,109.96,118.03,124.27,132.14,112.65,110.04,99.66,97.11,99.66,123.02,128.08,144.39,135.39,140.02,107.43,102.24,84.78,94.58,75.64,58.22,71.38,89.61,92.08,102.24,99.66,88.39,88.86,100.05,94.11,86.71,84.68,78.29,71.91,66.59,44.69,41.64,38.55,35.51,32.25,29.3,25.95,23.03,20.04,16.9,13.94,10.51,6.77,7.41,7.56,6.96,6.63,6.67,6.59,6.67,7.03,6.89,7.03,6.89,7.18,7.1,7.33,7.03,7.25,7.1,10.14,12.53,15.39,18.11,20.61,22.98,25.68,28.42,31,33.7,36.42,39.28,41.89,45.51,43.46,42.13,40.28,38.76,35.73,33.12,31.22,29.85,28.87,25.53,24.73,22.78,23.26,19.64,20.75,21.48,21.84,23.24,20.02,21.48,20.75,18.89,15.87,15.87,15.13,14.4,14.4,11.71,12.02,14.04,15.13,15.5,13,13.34,13.69,11.71,17.66,21.91,27.07,31.44,34.87,38.53,41.66,60.67,69.49,71.15,80.16,88.43,103.15,105.39,122.46,126.9,120.33,130.63,137.51,135.39,142.24,135.39,135.39,130.56,120.45,135.39,152.22,148.48,152.22,152.22,157.14,164.76,164.03,165.85,166.34,166.34,166.34,166.21,166.21,166.21,165.37,166.21,155.28,145.41,135.7,124.12,115.17,98.56,83.09,77.01,67.64,46.34,45.19,43.89,41.65,38.92,38.35,37.08,36.41,34.95,33.27,32.48,30.3,29.89,27.91,24.6,22.7,19.64,21.12,21.48,15.87,18.52,19.64,18.52,17.38,15.5,15.13,16.62,20.02,18.89,17.76,18.14,16.62,15.13,15.81,17.69,20.47,25.88,28.86,32.57,33.75,36.84,37.74,39.95,42.02,44.79,48.98,52.42,47.15,43.76,44.04,47.15,42.77,36.72,33.86,30.84,31.45,32.76,29.35,23.87,23.13,13.02,14.19,13.02,13.02,17.71,15.49,14.19,24.18,34.1,32.7,28.78,26.39,26.39,21.17,23.13,32.7,43.49,45.22,45.22,47,48.82,44.44,54.67,47.31,51.91,52.91,45.64,43.67,41.74,39.92,38.27,37.76,36.25,34.77,31.86,31.49
"5",99.33,120.14,125.21,127.69,117.58,107.17,89.03,117.58,86.5,71.92,76.65,96.74,94.15,96.74,112.39,117.58,125.21,104.55,104.04,91.62,95.6,70.82,65.92,51.76,44.94,41.06,42.66,38.3,42.57,45.03,43.87,46.27,47.95,55.26,58.42,66.45,80.26,89.42,92.5,111.36,119.62,126.1,134.17,115.26,112.65,102.24,99.66,102.24,125.56,130.56,146.47,137.73,142.24,110.04,104.83,87.17,97.11,77.86,59.92,73.48,92.08,94.58,104.83,102.24,90.68,90.97,101.96,95.79,88.17,85.89,79.28,72.67,67.12,44.7,41.66,38.57,35.53,32.28,29.33,26,23.08,20.1,16.96,14,10.58,6.83,7.48,7.64,7.03,6.67,6.72,6.63,6.72,7.1,6.96,7.1,6.96,7.25,7.18,7.41,7.1,7.33,7.18,10.21,12.6,15.46,18.17,20.66,23.02,25.72,28.45,31.01,33.7,36.43,39.29,41.91,45.55,43.53,42.22,40.4,38.9,35.89,33.31,31.44,30.09,29.13,25.82,25.03,23.11,23.6,20.02,21.12,21.84,22.19,23.58,20.39,21.84,21.12,19.27,16.24,16.24,15.5,14.76,14.76,12.02,12.34,14.4,15.5,15.87,13.34,13.69,14.04,12.02,17.97,22.19,27.32,31.65,35.05,38.66,41.74,60.97,69.87,71.82,80.94,89.33,103.8,106.47,122.92,127.84,122.06,132.41,139.44,137.73,144.39,137.73,137.73,133,123.02,137.73,153.96,150.39,153.96,153.96,158.57,165.37,164.76,166.21,166.06,166.06,166.06,166.43,166.43,166.43,165.85,166.43,155.72,144.96,135.87,124.6,115.37,99.38,84,77.67,68.15,46.39,45.25,43.97,41.76,39.05,38.49,37.24,36.58,35.14,33.48,32.7,30.55,30.15,28.2,24.92,23.04,20.02,21.48,21.84,16.24,18.89,20.02,18.89,17.76,15.87,15.5,17,20.39,19.27,18.14,18.52,17,15.5,16.13,17.98,20.74,26.16,29.11,32.78,33.95,37,37.89,40.08,42.12,44.85,48.77,52.02,46.76,43.37,43.51,46.41,42.05,36.09,33.21,30.18,30.63,31.77,28.36,22.97,22.13,12.48,13.59,12.48,12.48,16.93,14.83,13.59,23.13,32.7,31.35,27.57,25.27,25.27,20.24,22.13,31.35,41.8,43.49,43.49,45.22,47,43,53.25,46.34,51.09,52.35,45.69,43.73,41.83,40.03,38.4,37.91,36.41,34.96,32.08,31.72
"6",96.74,117.58,122.69,125.21,114.99,104.55,86.5,114.99,83.99,69.61,74.27,94.15,91.58,94.15,109.78,114.99,122.69,104.55,101.57,89.32,93.42,68.96,64.25,50.47,43.93,40.27,41.93,37.83,42.05,44.54,43.52,45.95,47.67,55.57,58.94,67.23,81.22,90.56,93.92,112.71,121.15,127.88,136.14,117.86,115.26,104.83,102.24,104.83,128.08,133,148.48,140.02,144.39,112.65,107.43,89.61,99.66,80.12,61.68,75.64,94.58,97.11,107.43,104.83,92.98,93.09,103.85,97.46,89.63,87.09,80.26,73.42,67.64,44.7,41.67,38.58,35.56,32.32,29.37,26.04,23.13,20.15,17.02,14.06,10.66,6.89,7.56,7.71,7.1,6.72,6.77,6.67,6.77,7.18,7.03,7.18,7.03,7.33,7.25,7.48,7.18,7.41,7.25,10.28,12.66,15.52,18.23,20.72,23.06,25.75,28.48,31.02,33.71,36.44,39.31,41.92,45.6,43.6,42.32,40.51,39.03,36.06,33.5,31.65,30.32,29.39,26.1,25.34,23.44,23.93,20.39,21.48,22.19,22.54,23.92,20.75,22.19,21.48,19.64,16.62,16.62,15.87,15.13,15.13,12.34,12.67,14.76,15.87,16.24,13.69,14.04,14.4,12.34,18.29,22.47,27.57,31.86,35.22,38.79,41.83,61.25,70.23,72.48,81.71,90.2,104.4,107.5,123.31,128.7,123.75,134.12,141.3,140.02,146.47,140.02,140.02,135.39,125.56,140.02,155.6,152.22,155.6,155.6,159.89,165.85,165.37,166.43,165.64,165.64,165.64,166.53,166.53,166.53,166.21,166.53,156.04,144.42,135.94,124.99,115.49,100.16,84.88,78.32,68.64,46.43,45.31,44.04,41.86,39.18,38.64,37.4,36.76,35.33,33.69,32.93,30.8,30.41,28.48,25.23,23.38,20.39,21.84,22.19,16.62,19.27,20.39,19.27,18.14,16.24,15.87,17.38,20.75,19.64,18.52,18.89,17.38,15.87,16.46,18.28,21.02,26.44,29.36,33,34.14,37.17,38.03,40.2,42.22,44.92,48.57,51.62,46.39,42.99,43.01,45.7,41.35,35.48,32.58,29.54,29.85,30.82,27.41,22.1,21.17,11.96,13.02,11.96,11.96,16.2,14.19,13.02,22.13,31.35,30.05,26.39,24.18,24.18,19.36,21.17,30.05,40.17,41.8,41.8,43.49,45.22,41.6,51.85,45.39,50.29,51.79,45.73,43.8,41.91,40.13,38.53,38.05,36.58,35.15,32.29,31.95
"7",94.15,114.99,120.14,122.69,112.39,104.55,83.99,112.39,81.52,67.33,71.92,91.58,89.03,91.58,107.17,112.39,120.14,101.94,101.57,87.03,91.24,67.12,62.59,49.21,42.95,39.51,41.22,37.37,41.55,44.05,43.18,45.63,47.4,55.89,59.47,68.01,82.16,91.67,95.31,114.01,122.63,129.59,138.03,120.45,117.86,107.43,104.83,107.43,130.56,135.39,150.39,142.24,146.47,115.26,110.04,92.08,102.24,82.42,63.51,77.86,97.11,99.66,110.04,107.43,95.32,95.23,105.73,99.12,91.07,88.27,81.22,74.17,68.15,44.71,41.68,38.6,35.58,32.35,29.4,26.08,23.17,20.19,17.07,14.11,10.73,6.96,7.64,7.78,7.18,6.77,6.83,6.72,6.83,7.25,7.1,7.25,7.1,7.41,7.33,7.56,7.25,7.48,7.33,10.35,12.73,15.58,18.28,20.77,23.1,25.79,28.52,31.04,33.72,36.45,39.33,41.93,45.64,43.67,42.41,40.63,39.17,36.23,33.69,31.86,30.56,29.64,26.39,25.64,23.76,24.26,20.75,21.84,22.54,22.89,24.25,21.12,22.54,21.84,20.02,17,17,16.24,15.5,15.5,12.67,13,15.13,16.24,16.62,14.04,14.4,14.76,12.67,18.61,22.75,27.83,32.08,35.39,38.92,41.91,61.53,70.58,73.13,82.45,91.03,104.93,108.48,123.62,129.47,125.37,135.75,143.07,142.24,148.48,142.24,142.24,137.73,128.08,142.24,157.14,153.96,157.14,157.14,161.1,166.21,165.85,166.53,165.11,165.11,165.11,166.5,166.5,166.5,166.43,166.5,156.25,143.77,135.92,125.3,115.55,100.89,85.74,78.94,69.13,46.48,45.37,44.12,41.96,39.31,38.78,37.56,36.93,35.52,33.9,33.15,31.05,30.67,28.76,25.55,23.71,20.75,22.19,22.54,17,19.64,20.75,19.64,18.52,16.62,16.24,17.76,21.12,20.02,18.89,19.27,17.76,16.24,16.79,18.58,21.3,26.72,29.61,33.21,34.34,37.33,38.18,40.32,42.31,44.98,48.38,51.24,46.03,42.62,42.52,45,40.68,34.89,31.98,28.94,29.1,29.9,26.49,21.28,20.24,11.48,12.48,11.48,11.48,15.49,13.59,12.48,21.17,30.05,28.78,25.27,23.13,23.13,18.51,20.24,28.78,38.58,40.17,40.17,41.8,43.49,40.25,50.49,44.47,49.51,51.24,45.78,43.87,42,40.24,38.66,38.2,36.75,35.33,32.5,32.17
"8",91.58,112.39,117.58,120.14,109.78,101.94,81.52,109.78,79.07,65.1,69.61,89.03,86.5,89.03,104.55,109.78,117.58,99.33,99.1,84.76,89.07,65.32,60.97,47.98,42,38.78,40.53,36.94,41.06,43.59,42.85,45.32,47.14,56.21,60.01,68.8,83.09,92.76,96.69,115.26,124.04,131.24,139.86,123.02,120.45,110.04,107.43,110.04,133,137.73,152.22,144.39,148.48,117.86,112.65,94.58,104.83,84.78,65.39,80.12,99.66,102.24,112.65,110.04,97.66,97.38,107.58,100.75,92.5,89.42,82.16,74.9,68.64,44.72,41.7,38.62,35.6,32.38,29.43,26.13,23.22,20.24,17.12,14.16,10.79,7.03,7.71,7.85,7.25,6.83,6.89,6.77,6.89,7.33,7.18,7.33,7.18,7.48,7.41,7.64,7.33,7.56,7.41,10.42,12.8,15.64,18.34,20.82,23.14,25.83,28.55,31.06,33.74,36.46,39.35,41.94,45.69,43.74,42.5,40.75,39.3,36.39,33.88,32.08,30.79,29.89,26.67,25.94,24.09,24.59,21.12,22.19,22.89,23.24,24.59,21.48,22.89,22.19,20.39,17.38,17.38,16.62,15.87,15.87,13,13.34,15.5,16.62,17,14.4,14.76,15.13,13,18.94,23.04,28.08,32.29,35.56,39.05,42,61.8,70.9,73.76,83.16,91.83,105.41,109.4,123.84,130.17,126.93,137.32,144.77,144.39,150.39,144.39,144.39,140.02,130.56,144.39,158.57,155.6,158.57,158.57,162.2,166.43,166.21,166.5,164.45,164.45,164.45,166.34,166.34,166.34,166.53,166.34,156.34,143.03,135.8,125.54,115.53,101.57,86.58,79.54,69.6,46.52,45.43,44.2,42.06,39.44,38.92,37.72,37.1,35.71,34.11,33.37,31.29,30.93,29.04,25.86,24.05,21.12,22.54,22.89,17.38,20.02,21.12,20.02,18.89,17,16.62,18.14,21.48,20.39,19.27,19.64,18.14,16.62,17.13,18.88,21.59,26.99,29.86,33.42,34.53,37.49,38.33,40.44,42.41,45.05,48.19,50.86,45.68,42.27,42.04,44.33,40.02,34.32,31.4,28.35,28.38,29.02,25.61,20.48,19.36,11.03,11.96,11.03,11.03,14.83,13.02,11.96,20.24,28.78,27.57,24.18,22.13,22.13,17.71,19.36,27.57,37.04,38.58,38.58,40.17,41.8,38.93,49.17,43.58,48.75,50.71,45.83,43.93,42.09,40.35,38.79,38.35,36.91,35.52,32.71,32.4
"9",89.03,109.78,114.99,117.58,107.17,99.33,79.07,107.17,76.65,62.91,67.33,86.5,83.99,86.5,104.55,107.17,114.99,96.74,96.64,82.51,86.91,63.54,59.38,46.79,41.08,38.07,39.87,36.52,40.59,43.14,42.54,45.03,46.89,56.53,60.55,69.58,84,93.81,98.03,116.45,125.39,132.83,141.61,125.56,123.02,112.65,110.04,112.65,135.39,140.02,153.96,146.47,150.39,120.45,115.26,97.11,107.43,87.17,67.33,82.42,102.24,104.83,115.26,112.65,100.03,99.53,109.41,102.36,93.92,90.56,83.09,75.62,69.13,44.73,41.71,38.64,35.61,32.41,29.46,26.17,23.26,20.28,17.17,14.21,10.86,7.1,7.78,7.92,7.33,6.89,6.96,6.83,6.96,7.41,7.25,7.41,7.25,7.56,7.48,7.71,7.41,7.64,7.48,10.49,12.87,15.7,18.39,20.87,23.19,25.87,28.59,31.09,33.75,36.47,39.37,41.96,45.73,43.81,42.6,40.86,39.44,36.56,34.07,32.29,31.03,30.14,26.95,26.24,24.41,24.91,21.48,22.54,23.24,23.58,24.92,21.84,23.24,22.54,20.75,17.76,17.76,17,16.24,16.24,13.34,13.69,15.87,17,17.38,14.76,15.13,15.5,13.34,19.27,23.33,28.34,32.5,35.73,39.18,42.09,62.06,71.2,74.38,83.85,92.59,105.83,110.27,123.98,130.77,128.43,138.8,146.38,146.47,152.22,146.47,146.47,142.24,133,146.47,159.89,157.14,159.89,159.89,163.18,166.53,166.43,166.34,163.66,163.66,163.66,166.06,166.06,166.06,166.5,166.06,156.31,142.19,135.59,125.68,115.44,102.2,87.38,80.12,70.06,46.57,45.49,44.28,42.16,39.57,39.06,37.87,37.27,35.89,34.32,33.6,31.54,31.19,29.31,26.16,24.37,21.48,22.89,23.24,17.76,20.39,21.48,20.39,19.27,17.38,17,18.52,21.84,20.75,19.64,20.02,18.52,17,17.47,19.19,21.88,27.27,30.11,33.63,34.73,37.65,38.47,40.56,42.5,45.11,48.01,50.49,45.34,41.93,41.59,43.68,39.39,33.78,30.85,27.8,27.68,28.17,24.77,19.72,18.51,10.6,11.48,10.6,10.6,14.19,12.48,11.48,19.36,27.57,26.39,23.13,21.17,21.17,16.93,18.51,26.39,35.55,37.04,37.04,38.58,40.17,37.66,47.87,42.71,48.01,50.19,45.87,44,42.18,40.46,38.92,38.49,37.08,35.7,32.93,32.62
"10",86.5,107.17,112.39,114.99,104.55,96.74,76.65,104.55,74.27,60.76,65.1,83.99,81.52,83.99,101.94,104.55,112.39,94.15,94.18,80.28,84.76,61.8,57.82,45.62,40.19,37.38,39.23,36.12,40.14,42.71,42.23,44.74,46.65,56.85,61.1,70.36,84.88,94.84,99.35,117.58,126.67,134.34,143.28,128.08,125.56,115.26,112.65,115.26,137.73,142.24,155.6,148.48,152.22,123.02,117.86,99.66,110.04,89.61,69.32,84.78,104.83,107.43,117.86,115.26,102.4,101.69,111.21,103.95,95.31,91.67,84,76.32,69.6,44.74,41.72,38.65,35.63,32.44,29.49,26.21,23.3,20.32,17.22,14.26,10.93,7.18,7.85,7.98,7.41,6.96,7.03,6.89,7.03,7.48,7.33,7.48,7.33,7.64,7.56,7.78,7.48,7.71,7.56,10.55,12.93,15.75,18.44,20.93,23.24,25.91,28.63,31.11,33.77,36.49,39.39,41.97,45.78,43.88,42.69,40.97,39.57,36.72,34.26,32.5,31.26,30.39,27.23,26.53,24.73,25.23,21.84,22.89,23.58,23.92,25.25,22.19,23.58,22.89,21.12,18.14,18.14,17.38,16.62,16.62,13.69,14.04,16.24,17.38,17.76,15.13,15.5,15.87,13.69,19.6,23.63,28.59,32.71,35.9,39.31,42.18,62.31,71.49,74.98,84.51,93.32,106.19,111.07,124.05,131.29,129.86,140.2,147.9,148.48,153.96,148.48,148.48,144.39,135.39,148.48,161.1,158.57,161.1,161.1,164.03,166.5,166.53,166.06,162.76,162.76,162.76,165.64,165.64,165.64,166.34,165.64,156.16,141.25,135.29,125.75,115.28,102.77,88.16,80.67,70.5,46.61,45.55,44.36,42.26,39.69,39.2,38.03,37.43,36.08,34.52,33.82,31.78,31.45,29.59,26.47,24.7,21.84,23.24,23.58,18.14,20.75,21.84,20.75,19.64,17.76,17.38,18.89,22.19,21.12,20.02,20.39,18.89,17.38,17.82,19.5,22.17,27.54,30.35,33.84,34.92,37.81,38.61,40.68,42.6,45.18,47.84,50.13,45.01,41.6,41.15,43.05,38.78,33.26,30.32,27.27,27.02,27.36,23.96,19,17.71,10.2,11.03,10.2,10.2,13.59,11.96,11.03,18.51,26.39,25.27,22.13,20.24,20.24,16.2,17.71,25.27,34.1,35.55,35.55,37.04,38.58,36.42,46.61,41.87,47.29,49.68,45.92,44.07,42.27,40.57,39.05,38.64,37.24,35.88,33.13,32.84
