"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300"
"1",8.35,8.35,8.07,8.24,8.94,8.61,9.74,8.61,9.32,9.98,11.29,11.87,14.71,16.3,13.1,13.1,14.38,18.69,20.05,22.88,26.37,28.94,30.55,34.07,37.75,40.6,43.59,57.08,63.81,63.78,69.6,70.32,83.87,95.53,105.13,120.94,122.28,119.59,140.84,147.65,147.65,145.45,149.76,151.78,145.45,140.84,135.95,155.53,153.71,160.34,161.71,164.06,167.12,166.88,167.53,167.91,162.3,167.7,166.88,152.38,141.04,148.13,117.99,123.6,108.44,102.17,85.95,70.12,45.59,41.2,36.34,31.73,27.2,24.33,18.66,19.45,19.7,18.38,19.45,16.92,17.22,18.93,19.19,18.93,20.87,21.09,19.7,19.19,17.22,15.03,14.06,17.55,21.83,25.91,29.41,33.46,35.56,39.13,42.65,46.16,43.15,40.32,37.21,33.86,31.07,27.65,24.69,21.64,18.31,18.18,18.05,17.56,17.72,17.45,17.82,17.45,17.82,17.42,17.93,18.73,18.31,18.87,18.73,17.82,17.82,18.87,22.76,25.95,29.83,33.82,37.78,41.98,47.66,47.15,46.48,45.42,46.91,44.74,44.46,42.83,43.7,42.46,44.76,43.47,44.87,49.14,44.15,32.92,28.97,30.64,30.64,32.63,43.43,47.5,42.19,48.97,43.43,48.97,39.88,35.88,41.01,35.88,42.19,35.88,36.8,35.88,35,36.8,35,35.32,39.56,39.69,39.37,45.04,47.8,45.04,43.75,42.95,43.53,46.05,44.74,40.65,36.56,32.57,28.5,24.31,20.2,16.1,12.01,7.97,8.24,8.27,7.91,7.93,8.47,8.35,8.47,7.93,7.93,8.27,9.77,9.77,8.51,8.51,7.91,7.97,10.23,12.83,14.89,17.15,19.93,22.1,24.17,26.81,28.98,31.13,33.79,36.69,39.06,40.74,42.99,45.94,44.03,42.2,40.49,38.55,36.79,35.42,33.17,31.84,29.49,27.65,25.04,23.27,21.48,19.35,18.31,17.82,17.93,17.63,17.93,18.87,17.93,17.93,17.82,17.52,17.42,18.58,19.02,19.02,20.08,20.38,20.47,20.75,20.54,20.38,19.44,19.3,19.02,18.31,20.69,22.13,23.64,26.13,27.95,30.14,31.58,33.4,34.63,36.74,38.37,40.29,42.14,44.05,44.83,41.11,37.63,33.82,30.58,27.11,23.98,19.99,16.61,13.93,9.52,8.77,8.94,8.61,10.74,10.47,11.58,10.47,10.47,10.47,12.17,15.03,13.1,11.58,13.74,15.35
"2",8.47,8.47,8.14,8.24,9.12,8.77,9.98,8.77,9.52,10.22,11.58,12.17,15.03,16.61,13.42,13.42,14.71,18.98,20.32,23.13,26.59,29.13,30.71,34.22,37.86,40.69,43.64,57.42,64.37,64.54,70.58,71.5,85.29,97.13,106.88,122.68,124.36,122.02,143.18,149.76,149.76,147.65,151.78,153.71,147.65,143.18,138.42,157.25,155.53,161.71,162.95,165.03,167.53,166.26,167.8,167.88,160.97,167.36,166.26,150.31,138.51,145.86,115.5,121.9,106.9,101.19,85.06,69.43,45.63,41.28,36.47,31.9,27.41,24.54,18.93,19.7,19.95,18.66,19.7,17.22,17.52,19.19,19.45,19.19,21.09,21.3,19.95,19.45,17.52,15.35,14.38,17.85,22.09,26.13,29.6,33.61,35.7,39.24,42.72,46.18,43.18,40.37,37.27,33.93,31.15,27.75,24.81,21.77,18.44,18.31,18.18,17.63,17.6,17.49,17.93,17.49,17.93,17.45,18.05,18.87,18.44,19.02,18.87,17.93,17.93,19.02,22.89,26.04,29.89,33.86,37.79,42.01,47.74,47.3,46.69,45.66,47.32,45.13,44.93,43.3,44.31,43.09,45.59,44.33,45.88,50.42,45.31,33.58,29.5,31.27,31.27,33.38,44.73,48.97,43.43,50.5,44.73,50.5,41.01,36.8,42.19,36.8,43.43,36.8,37.78,36.8,35.88,37.78,35.88,36.09,40.43,40.45,40,45.83,48.59,45.6,44.11,43.14,43.62,46.17,44.74,40.65,36.56,32.54,28.46,24.33,20.22,16.11,12,7.93,8.35,8.17,7.91,7.91,8.61,8.47,8.61,7.91,7.91,8.17,9.56,9.56,8.38,8.38,7.93,7.93,10.26,12.74,14.95,17.19,20.04,22.19,24.23,26.9,29.06,31.18,33.87,36.79,39.15,40.8,43.04,45.95,44.03,42.22,40.53,38.6,36.85,35.49,33.25,31.92,29.58,27.75,25.08,23.2,21.38,19.39,18.44,17.93,18.05,17.72,18.05,19.02,18.05,18.05,17.93,17.46,17.45,18.73,19.16,19.16,20.19,20.47,20.54,20.77,20.61,20.47,19.58,19.44,19.16,18.44,20.82,22.25,23.74,26.25,28.05,30.23,31.67,33.48,34.67,36.79,38.4,40.32,42.16,44.07,44.81,41.13,37.68,33.82,30.67,27.23,24.14,20.15,16.79,14.17,9.74,8.94,9.12,8.77,11.01,10.74,11.87,10.74,10.74,10.74,12.48,15.35,13.42,11.87,14.06,15.67
"3",8.61,8.61,8.24,8.35,9.32,8.94,10.22,8.94,9.74,10.47,11.87,12.48,15.35,16.92,13.74,13.74,15.03,19.27,20.59,23.37,26.81,29.32,30.88,34.36,37.97,40.77,43.7,57.76,64.92,65.31,71.57,72.68,86.71,98.7,108.61,124.35,126.38,124.43,145.45,151.78,151.78,149.76,153.71,155.53,149.76,145.45,140.84,158.85,157.25,162.95,164.06,165.87,167.8,165.48,167.91,167.7,159.5,166.88,165.48,148.13,135.9,143.5,112.98,120.12,105.32,100.15,84.14,68.72,45.67,41.36,36.59,32.06,27.61,24.73,19.19,19.95,20.19,18.93,19.95,17.52,17.81,19.45,19.7,19.45,21.3,21.51,20.19,19.7,17.81,15.67,14.71,18.14,22.34,26.35,29.78,33.75,35.83,39.33,42.78,46.2,43.21,40.4,37.32,34,31.24,27.85,24.92,21.9,18.58,18.44,18.31,17.72,17.52,17.56,18.05,17.56,18.05,17.49,18.18,19.02,18.58,19.16,19.02,18.05,18.05,19.16,23.02,26.13,29.96,33.91,37.81,42.04,47.83,47.46,46.91,45.92,47.74,45.54,45.41,43.79,44.94,43.75,46.46,45.23,46.94,51.75,46.51,34.29,30.05,31.93,31.93,34.17,46.08,50.5,44.73,52.09,46.08,52.09,42.19,37.78,43.43,37.78,44.73,37.78,38.8,37.78,36.8,38.8,36.8,36.91,41.36,41.25,40.65,46.65,49.42,46.18,44.5,43.35,43.72,46.29,44.74,40.65,36.57,32.51,28.43,24.37,20.25,16.13,12.02,7.91,8.47,8.09,7.93,7.91,8.77,8.61,8.77,7.91,7.91,8.09,9.35,9.35,8.27,8.27,7.96,7.91,10.3,12.67,15.01,17.24,20.17,22.3,24.23,27,29.15,31.25,33.96,36.89,39.24,40.86,43.1,45.97,44.03,42.25,40.58,38.64,36.91,35.55,33.32,32,29.67,27.85,25.13,23.15,21.31,19.45,18.58,18.05,18.18,17.82,18.18,19.16,18.18,18.18,18.05,17.42,17.49,18.87,19.3,19.3,20.29,20.54,20.61,20.78,20.66,20.54,19.71,19.58,19.3,18.58,20.96,22.38,23.85,26.36,28.16,30.31,31.75,33.55,34.71,36.85,38.43,40.35,42.18,44.08,44.8,41.13,37.74,33.86,30.77,27.36,24.31,20.31,16.98,14.42,9.98,9.12,9.32,8.94,11.29,11.01,12.17,11.01,11.01,11.01,12.79,15.67,13.74,12.17,14.38,15.99
"4",8.77,8.77,8.24,8.47,9.52,9.12,10.47,9.12,9.98,10.74,12.17,12.79,15.67,17.22,14.06,14.06,15.35,19.55,20.86,23.62,27.02,29.51,31.05,34.5,38.08,40.86,43.75,58.1,65.46,66.08,72.57,73.88,88.12,100.25,110.29,125.95,128.36,126.79,147.65,153.71,153.71,151.78,155.53,157.25,151.78,147.65,143.18,160.34,158.85,164.06,165.03,166.57,167.91,164.56,167.88,167.36,157.9,166.26,164.56,145.86,133.23,141.04,110.43,118.28,103.69,99.07,83.19,67.99,45.71,41.44,36.71,32.22,27.8,24.93,19.45,20.19,20.42,19.19,20.19,17.81,18.1,19.7,19.95,19.7,21.51,21.71,20.42,19.95,18.1,15.99,15.03,18.43,22.6,26.57,29.97,33.9,35.96,39.43,42.85,46.21,43.24,40.44,37.38,34.08,31.33,27.95,25.04,22.03,18.73,18.58,18.44,17.82,17.46,17.63,18.18,17.63,18.18,17.56,18.31,19.16,18.73,19.3,19.16,18.18,18.18,19.3,23.14,26.23,30.03,33.97,37.83,42.08,47.92,47.63,47.14,46.18,48.19,45.97,45.93,44.31,45.61,44.45,47.37,46.17,48.04,53.13,47.77,35.03,30.64,32.63,32.63,35,47.5,52.09,46.08,53.74,47.5,53.74,43.43,38.8,44.73,38.8,46.08,38.8,39.88,38.8,37.78,39.88,37.78,37.76,42.32,42.09,41.34,47.51,50.28,46.79,44.91,43.56,43.82,46.42,44.74,40.66,36.58,32.49,28.4,24.42,20.3,16.17,12.04,7.91,8.61,8.02,7.96,7.93,8.94,8.77,8.94,7.93,7.93,8.02,9.16,9.16,8.17,8.17,8,7.91,10.36,12.61,15.09,17.3,20.3,22.41,24.29,27.11,29.24,31.32,34.05,37,39.33,40.93,43.15,45.98,44.03,42.28,40.62,38.69,36.97,35.61,33.4,32.08,29.77,27.95,25.18,23.13,21.26,19.52,18.73,18.18,18.31,17.93,18.31,19.3,18.31,18.31,18.18,17.41,17.56,19.02,19.44,19.44,20.38,20.61,20.66,20.79,20.71,20.61,19.84,19.71,19.44,18.73,21.09,22.5,23.97,26.47,28.26,30.4,31.84,33.63,34.77,36.91,38.47,40.38,42.2,44.1,44.78,41.15,37.79,33.91,30.88,27.49,24.48,20.48,17.18,14.68,10.22,9.32,9.52,9.12,11.58,11.29,12.48,11.29,11.29,11.29,13.1,15.99,14.06,12.48,14.71,16.3
"5",8.94,8.94,8.35,8.61,9.74,9.32,10.74,9.32,10.22,11.01,12.48,13.1,15.99,17.52,14.38,14.38,15.67,19.83,21.13,23.86,27.24,29.7,31.21,34.64,38.19,40.94,43.8,58.44,66.01,66.85,73.56,75.09,89.52,101.77,111.93,127.49,130.27,129.12,149.76,155.53,155.53,153.71,157.25,158.85,153.71,149.76,145.45,161.71,160.34,165.03,165.87,167.12,167.88,163.5,167.7,166.88,156.18,165.48,163.5,143.5,130.49,138.51,107.85,116.38,102.02,97.93,82.21,67.27,45.75,41.51,36.83,32.37,27.99,25.12,19.7,20.42,20.65,19.45,20.42,18.1,18.38,19.95,20.19,19.95,21.71,21.91,20.65,20.19,18.38,16.3,15.35,18.72,22.85,26.78,30.15,34.03,36.09,39.53,42.91,46.23,43.27,40.48,37.43,34.15,31.41,28.05,25.16,22.16,18.87,18.73,18.58,17.93,17.42,17.72,18.31,17.72,18.31,17.63,18.44,19.3,18.87,19.44,19.3,18.31,18.31,19.44,23.26,26.33,30.11,34.02,37.86,42.11,48.02,47.8,47.38,46.47,48.65,46.42,46.46,44.86,46.31,45.18,48.32,47.16,49.19,54.56,49.08,35.82,31.27,33.38,33.38,35.88,48.97,53.74,47.5,55.46,48.97,55.46,44.73,39.88,46.08,39.88,47.5,39.88,41.01,39.88,38.8,41.01,38.8,38.67,43.33,42.98,42.07,48.41,51.18,47.42,45.33,43.79,43.93,46.56,44.75,40.67,36.6,32.47,28.38,24.48,20.35,16.22,12.09,7.93,8.77,7.97,8,7.96,9.12,8.94,9.12,7.96,7.96,7.97,8.97,8.97,8.09,8.09,8.07,7.93,10.43,12.57,15.09,17.37,20.44,22.53,24.37,27.23,29.34,31.39,34.15,37.1,39.43,40.99,43.2,45.99,44.04,42.31,40.66,38.74,37.03,35.67,33.48,32.15,29.86,28.05,25.25,23.12,21.22,19.6,18.87,18.31,18.44,18.05,18.44,19.44,18.44,18.44,18.31,17.42,17.63,19.16,19.58,19.58,20.47,20.66,20.71,20.78,20.75,20.66,19.96,19.84,19.58,18.87,21.23,22.63,24.08,26.57,28.36,30.47,31.92,33.7,34.82,36.97,38.51,40.41,42.22,44.12,44.77,41.18,37.86,33.96,30.99,27.62,24.65,20.66,17.39,14.94,10.47,9.52,9.74,9.32,11.87,11.58,12.79,11.58,11.58,11.58,13.42,16.3,14.38,12.79,15.03,16.61
"6",9.12,9.12,8.47,8.77,9.98,9.52,11.01,9.52,10.47,11.29,12.79,13.42,16.3,17.81,14.71,14.71,15.99,20.1,21.4,24.1,27.45,29.89,31.38,34.79,38.3,41.02,43.85,58.78,66.54,67.63,74.55,76.29,90.9,103.26,113.53,128.96,132.11,131.39,151.78,157.25,157.25,155.53,158.85,160.34,155.53,151.78,147.65,162.95,161.71,165.87,166.57,167.53,167.7,162.3,167.36,166.26,154.33,164.56,162.3,141.04,127.7,135.9,105.26,114.43,100.31,96.75,81.21,66.53,45.79,41.59,36.94,32.52,28.18,25.3,19.95,20.65,20.87,19.7,20.65,18.38,18.66,20.19,20.42,20.19,21.91,22.11,20.87,20.42,18.66,16.61,15.67,19.01,23.1,26.99,30.33,34.17,36.22,39.62,42.97,46.25,43.3,40.51,37.48,34.22,31.49,28.16,25.27,22.29,19.02,18.87,18.73,18.05,17.41,17.82,18.44,17.82,18.44,17.72,18.58,19.44,19.02,19.58,19.44,18.44,18.44,19.58,23.38,26.44,30.19,34.09,37.9,42.15,48.12,47.99,47.63,46.76,49.14,46.89,47.02,45.43,47.04,45.95,49.31,48.18,50.39,56.04,50.45,36.65,31.93,34.17,34.17,36.8,50.5,55.46,48.97,57.23,50.5,57.23,46.08,41.01,47.5,41.01,48.97,41.01,42.19,41.01,39.88,42.19,39.88,39.62,44.39,43.9,42.83,49.34,52.11,48.08,45.78,44.03,44.05,46.71,44.76,40.68,36.63,32.46,28.37,24.48,20.42,16.28,12.14,7.96,8.94,7.93,8.07,8,9.32,9.12,9.32,8,8,7.93,8.8,8.8,8.02,8.02,8.14,7.96,10.52,12.53,15.18,17.37,20.59,22.66,24.46,27.36,29.45,31.48,34.25,37.21,39.52,41.06,43.26,46.01,44.05,42.34,40.7,38.79,37.09,35.73,33.55,32.23,29.95,28.16,25.33,23.12,21.21,19.7,19.02,18.44,18.58,18.18,18.58,19.58,18.58,18.58,18.44,17.45,17.72,19.3,19.71,19.71,20.54,20.71,20.75,20.76,20.77,20.71,20.08,19.96,19.71,19.02,21.35,22.76,24.2,26.68,28.45,30.55,32,33.78,34.88,37.03,38.55,40.45,42.25,44.14,44.76,41.21,37.92,34.02,31.1,27.77,24.84,20.85,17.61,15.21,10.74,9.74,9.98,9.52,12.17,11.87,13.1,11.87,11.87,11.87,13.74,16.61,14.71,13.1,15.35,16.92
"7",9.32,9.32,8.61,8.94,10.22,9.74,11.29,9.74,10.74,11.58,13.1,13.74,16.61,18.1,15.03,15.03,16.3,20.37,21.66,24.34,27.65,30.08,31.55,34.93,38.4,41.1,43.9,59.12,67.07,68.41,75.54,77.5,92.27,104.71,115.08,130.35,133.89,133.61,153.71,158.85,158.85,157.25,160.34,161.71,157.25,153.71,149.76,164.06,162.95,166.57,167.12,167.8,167.36,160.97,166.88,165.48,152.38,163.5,160.97,138.51,124.86,133.23,102.65,112.42,98.56,95.52,80.18,65.79,45.83,41.66,37.05,32.67,28.36,25.49,20.19,20.87,21.09,19.95,20.87,18.66,18.93,20.42,20.65,20.42,22.11,22.31,21.09,20.65,18.93,16.92,15.99,19.29,23.35,27.2,30.51,34.3,36.34,39.72,43.04,46.26,43.32,40.54,37.53,34.3,31.57,28.26,25.38,22.41,19.16,19.02,18.87,18.18,17.42,17.93,18.58,17.93,18.58,17.82,18.73,19.58,19.16,19.71,19.58,18.58,18.58,19.71,23.5,26.55,30.28,34.15,37.93,42.18,48.23,48.18,47.89,47.07,49.65,47.38,47.61,46.04,47.8,46.75,50.34,49.25,51.63,57.58,51.86,37.52,32.63,35,35,37.78,52.09,57.23,50.5,59.06,52.09,59.06,47.5,42.19,48.97,42.19,50.5,42.19,43.43,42.19,41.01,43.43,41.01,40.62,45.5,44.87,43.63,50.32,53.07,48.77,46.25,44.29,44.17,46.87,44.77,40.7,36.66,32.46,28.37,24.55,20.42,16.36,12.21,8,9.12,7.91,8.14,8.07,9.52,9.32,9.52,8.07,8.07,7.91,8.65,8.65,7.97,7.97,8.24,8,10.52,12.52,15.29,17.46,20.75,22.8,24.55,27.49,29.56,31.56,34.36,37.32,39.61,41.13,43.31,46.02,44.07,42.37,40.75,38.85,37.15,35.79,33.63,32.3,30.05,28.26,25.41,23.15,21.22,19.8,19.16,18.58,18.73,18.31,18.73,19.71,18.73,18.73,18.58,17.49,17.82,19.44,19.84,19.84,20.61,20.75,20.77,20.73,20.78,20.75,20.19,20.08,19.84,19.16,21.48,22.88,24.32,26.78,28.55,30.62,32.08,33.85,34.95,37.09,38.6,40.49,42.28,44.17,44.75,41.24,37.99,34.09,31.22,27.91,25.02,21.04,17.83,15.48,11.01,9.98,10.22,9.74,12.48,12.17,13.42,12.17,12.17,12.17,14.06,16.92,15.03,13.42,15.67,17.22
"8",9.52,9.52,8.77,9.12,10.47,9.98,11.58,9.98,11.01,11.87,13.42,14.06,16.92,18.38,15.35,15.35,16.61,20.64,21.92,24.58,27.86,30.26,31.72,35.07,38.5,41.17,43.95,59.45,67.58,69.18,76.52,78.71,93.61,106.12,116.58,131.65,135.59,135.77,155.53,160.34,160.34,158.85,161.71,162.95,158.85,155.53,151.78,165.03,164.06,167.12,167.53,167.91,166.88,159.5,166.26,164.56,150.31,162.3,159.5,135.9,121.98,130.49,100.03,110.37,96.79,94.26,79.14,65.04,45.87,41.73,37.16,32.82,28.54,25.66,20.42,21.09,21.3,20.19,21.09,18.93,19.19,20.65,20.87,20.65,22.31,22.51,21.3,20.87,19.19,17.22,16.3,19.58,23.6,27.41,30.68,34.43,36.47,39.81,43.1,46.27,43.35,40.57,37.58,34.37,31.64,28.36,25.49,22.54,19.3,19.16,19.02,18.31,17.45,18.05,18.73,18.05,18.73,17.93,18.87,19.71,19.3,19.84,19.71,18.73,18.73,19.84,23.61,26.65,30.37,34.22,37.97,42.22,48.35,48.38,48.17,47.4,50.17,47.9,48.23,46.67,48.59,47.58,51.41,50.36,52.92,59.16,53.33,38.45,33.38,35.88,35.88,38.8,53.74,59.06,52.09,60.96,53.74,60.96,48.97,43.43,50.5,43.43,52.09,43.43,44.73,43.43,42.19,44.73,42.19,41.66,46.66,45.88,44.47,51.33,54.07,49.5,46.75,44.56,44.31,47.03,44.78,40.72,36.66,32.47,28.38,24.62,20.5,16.36,12.3,8.07,9.32,7.91,8.24,8.14,9.74,9.52,9.74,8.14,8.14,7.91,8.51,8.51,7.93,7.93,8.24,8.07,10.63,12.52,15.4,17.56,20.92,22.95,24.66,27.62,29.68,31.66,34.46,37.43,39.7,41.21,43.37,46.04,44.08,42.41,40.79,38.9,37.21,35.84,33.7,32.36,30.14,28.36,25.5,23.18,21.25,19.91,19.3,18.73,18.87,18.44,18.87,19.84,18.87,18.87,18.73,17.56,17.93,19.58,19.96,19.96,20.66,20.77,20.78,20.68,20.79,20.77,20.29,20.19,19.96,19.3,21.6,23.01,24.44,26.88,28.64,30.69,32.15,33.91,35.01,37.15,38.64,40.53,42.31,44.19,44.75,41.27,38.07,34.16,31.35,28.07,25.22,21.24,18.06,15.76,11.29,10.22,10.47,9.98,12.79,12.48,13.74,12.48,12.48,12.48,14.38,17.22,15.35,13.74,15.99,17.52
"9",9.74,9.74,8.94,9.32,10.74,10.22,11.87,10.22,11.29,12.17,13.74,14.38,17.22,18.66,15.67,15.67,16.92,20.9,22.18,24.81,28.06,30.44,31.89,35.2,38.6,41.25,44,59.78,68.09,69.95,77.49,79.92,94.93,107.49,118.02,132.88,137.21,137.86,157.25,161.71,161.71,160.34,162.95,164.06,160.34,157.25,153.71,165.87,165.03,167.53,167.8,167.88,166.26,157.9,165.48,163.5,148.13,160.97,157.9,133.23,119.06,127.7,97.41,108.28,94.99,92.95,78.07,64.29,45.9,41.79,37.27,32.96,28.71,25.84,20.65,21.3,21.51,20.42,21.3,19.19,19.45,20.87,21.09,20.87,22.51,22.71,21.51,21.09,19.45,17.52,16.61,19.86,23.84,27.61,30.85,34.56,36.59,39.9,43.15,46.29,43.37,40.59,37.62,34.44,31.71,28.45,25.6,22.66,19.44,19.3,19.16,18.44,17.49,18.18,18.87,18.18,18.87,18.05,19.02,19.84,19.44,19.96,19.84,18.87,18.87,19.96,23.72,26.76,30.45,34.29,38.02,42.25,48.47,48.6,48.46,47.74,50.72,48.44,48.87,47.32,49.42,48.46,52.52,51.52,54.26,60.79,54.86,39.41,34.17,36.8,36.8,39.88,55.46,60.96,53.74,62.91,55.46,62.91,50.5,44.73,52.09,44.73,53.74,44.73,46.08,44.73,43.43,46.08,43.43,42.76,47.86,46.94,45.35,52.38,55.1,50.24,47.26,44.84,44.45,47.2,44.78,40.72,36.69,32.48,28.39,24.71,20.59,16.45,12.3,8.14,9.52,7.93,8.24,8.24,9.98,9.74,9.98,8.24,8.24,7.93,8.38,8.38,7.91,7.91,8.35,8.14,10.74,12.53,15.53,17.67,21.1,23.11,24.77,27.77,29.8,31.76,34.58,37.54,39.8,41.28,43.43,46.06,44.1,42.44,40.83,38.95,37.27,35.89,33.78,32.42,30.23,28.45,25.6,23.23,21.29,20.03,19.44,18.87,19.02,18.58,19.02,19.96,19.02,19.02,18.87,17.63,18.05,19.71,20.08,20.08,20.71,20.78,20.79,20.63,20.78,20.78,20.38,20.29,20.08,19.44,21.71,23.13,24.56,26.97,28.72,30.75,32.23,33.98,35.08,37.21,38.69,40.58,42.34,44.21,44.74,41.31,38.14,34.23,31.48,28.22,25.41,21.45,18.3,16.04,11.58,10.47,10.74,10.22,13.1,12.79,14.06,12.79,12.79,12.79,14.71,17.52,15.67,14.06,16.3,17.81
"10",9.98,9.98,9.12,9.52,11.01,10.47,12.17,10.47,11.58,12.48,14.06,14.71,17.52,18.93,15.99,15.99,17.22,21.15,22.44,25.04,28.25,30.62,32.05,35.34,38.7,41.32,44.04,60.11,68.58,70.72,78.45,81.12,96.22,108.81,119.4,134.01,138.74,139.88,158.85,162.95,162.95,161.71,164.06,165.03,161.71,158.85,155.53,166.57,165.87,167.8,167.91,167.7,165.48,156.18,164.56,162.3,145.86,159.5,156.18,130.49,116.12,124.86,94.79,106.15,93.16,91.61,76.99,63.55,45.94,41.86,37.38,33.1,28.88,26.01,20.87,21.51,21.71,20.65,21.51,19.45,19.7,21.09,21.3,21.09,22.71,22.9,21.71,21.3,19.7,17.81,16.92,20.14,24.07,27.8,31.01,34.68,36.71,39.99,43.21,46.3,43.4,40.61,37.66,34.5,31.78,28.55,25.7,22.77,19.58,19.44,19.3,18.58,17.56,18.31,19.02,18.31,19.02,18.18,19.16,19.96,19.58,20.08,19.96,19.02,19.02,20.08,23.82,26.87,30.54,34.36,38.07,42.29,48.6,48.82,48.77,48.1,51.29,49,49.53,48.01,50.28,49.36,53.67,52.72,55.65,62.48,56.44,40.43,35,37.78,37.78,41.01,57.23,62.91,55.46,64.93,57.23,64.93,52.09,46.08,53.74,46.08,55.46,46.08,47.5,46.08,44.73,47.5,44.73,43.91,49.12,48.04,46.27,53.47,56.16,51.02,47.8,45.14,44.6,47.39,44.79,40.74,36.73,32.5,28.42,24.8,20.68,16.55,12.4,8.24,9.74,7.96,8.35,8.24,10.22,9.98,10.22,8.24,8.24,7.96,8.27,8.27,7.91,7.91,8.47,8.24,10.88,12.55,15.67,17.79,21.28,23.27,24.89,27.91,29.93,31.86,34.69,37.65,39.89,41.35,43.48,46.07,44.12,42.48,40.87,39,37.32,35.93,33.85,32.48,30.31,28.55,25.7,23.3,21.34,20.16,19.58,19.02,19.16,18.73,19.16,20.08,19.16,19.16,19.02,17.72,18.18,19.84,20.19,20.19,20.75,20.79,20.78,20.56,20.76,20.79,20.47,20.38,20.19,19.58,21.82,23.25,24.67,27.06,28.8,30.8,32.3,34.04,35.15,37.27,38.74,40.62,42.37,44.24,44.74,41.35,38.22,34.32,31.61,28.39,25.61,21.66,18.54,16.33,11.87,10.74,11.01,10.47,13.42,13.1,14.38,13.1,13.1,13.1,15.03,17.81,15.99,14.38,16.61,18.1
