"","tt.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","high"
"13","decreasing"
"14","decreasing"
"15","decreasing"
"16","decreasing"
"17","decreasing"
"18","decreasing"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","decreasing"
"25","decreasing"
"26","decreasing"
"27","decreasing"
"28","low"
"29","low"
"30","low"
"31","low"
"32","low"
"33","low"
"34","low"
"35","low"
"36","low"
"37","low"
"38","low"
"39","low"
"40","low"
"41","low"
"42","low"
"43","increasing"
"44","increasing"
"45","increasing"
"46","increasing"
"47","increasing"
"48","increasing"
"49","increasing"
"50","increasing"
"51","increasing"
"52","increasing"
"53","increasing"
"54","increasing"
"55","increasing"
"56","high"
"57","decreasing"
"58","decreasing"
"59","decreasing"
"60","decreasing"
"61","decreasing"
"62","low"
"63","low"
"64","low"
"65","low"
"66","low"
"67","low"
"68","low"
"69","low"
"70","low"
"71","low"
"72","increasing"
"73","increasing"
"74","increasing"
"75","increasing"
"76","increasing"
"77","increasing"
"78","increasing"
"79","increasing"
"80","high"
"81","decreasing"
"82","decreasing"
"83","decreasing"
"84","decreasing"
"85","decreasing"
"86","decreasing"
"87","decreasing"
"88","decreasing"
"89","decreasing"
"90","decreasing"
"91","decreasing"
"92","decreasing"
"93","decreasing"
"94","decreasing"
"95","low"
"96","low"
"97","low"
"98","low"
"99","low"
"100","low"
"101","low"
"102","low"
"103","low"
"104","low"
"105","low"
"106","low"
"107","low"
"108","low"
"109","low"
"110","increasing"
"111","increasing"
"112","increasing"
"113","increasing"
"114","increasing"
"115","increasing"
"116","increasing"
"117","increasing"
"118","increasing"
"119","increasing"
"120","increasing"
"121","increasing"
"122","increasing"
"123","high"
"124","decreasing"
"125","decreasing"
"126","decreasing"
"127","decreasing"
"128","decreasing"
"129","decreasing"
"130","decreasing"
"131","decreasing"
"132","decreasing"
"133","decreasing"
"134","decreasing"
"135","low"
"136","low"
"137","low"
"138","low"
"139","low"
"140","low"
"141","low"
"142","low"
"143","low"
"144","low"
"145","low"
"146","low"
"147","low"
"148","low"
"149","increasing"
"150","increasing"
"151","increasing"
"152","increasing"
"153","increasing"
"154","increasing"
"155","increasing"
"156","increasing"
"157","increasing"
"158","increasing"
"159","high"
"160","decreasing"
"161","decreasing"
"162","decreasing"
"163","decreasing"
"164","decreasing"
"165","decreasing"
"166","decreasing"
"167","decreasing"
"168","decreasing"
"169","decreasing"
"170","decreasing"
"171","decreasing"
"172","decreasing"
"173","decreasing"
"174","decreasing"
"175","low"
"176","low"
"177","low"
"178","low"
"179","low"
"180","low"
"181","low"
"182","low"
"183","increasing"
"184","increasing"
"185","increasing"
"186","increasing"
"187","increasing"
"188","increasing"
"189","increasing"
"190","high"
"191","decreasing"
"192","decreasing"
"193","decreasing"
"194","decreasing"
"195","decreasing"
"196","decreasing"
"197","decreasing"
"198","decreasing"
"199","decreasing"
"200","decreasing"
"201","decreasing"
"202","decreasing"
"203","decreasing"
"204","decreasing"
"205","decreasing"
"206","low"
"207","low"
"208","low"
"209","low"
"210","low"
"211","low"
"212","low"
"213","low"
"214","low"
"215","low"
"216","increasing"
"217","increasing"
"218","increasing"
"219","increasing"
"220","increasing"
"221","increasing"
"222","increasing"
"223","increasing"
"224","high"
"225","decreasing"
"226","decreasing"
"227","decreasing"
"228","decreasing"
"229","decreasing"
"230","low"
"231","low"
"232","low"
"233","low"
"234","low"
"235","low"
"236","low"
"237","low"
"238","low"
"239","low"
"240","low"
"241","low"
"242","low"
"243","low"
"244","low"
"245","increasing"
"246","increasing"
"247","increasing"
"248","increasing"
"249","increasing"
"250","increasing"
"251","increasing"
"252","increasing"
"253","increasing"
"254","increasing"
"255","increasing"
"256","increasing"
"257","high"
"258","decreasing"
"259","decreasing"
"260","decreasing"
"261","decreasing"
"262","decreasing"
"263","decreasing"
"264","decreasing"
"265","decreasing"
"266","decreasing"
"267","decreasing"
"268","decreasing"
"269","decreasing"
"270","low"
"271","low"
"272","low"
"273","low"
"274","low"
"275","low"
"276","low"
"277","low"
"278","low"
"279","low"
"280","low"
"281","increasing"
"282","increasing"
"283","increasing"
"284","increasing"
"285","increasing"
"286","increasing"
"287","increasing"
"288","high"
"289","decreasing"
"290","decreasing"
"291","decreasing"
"292","decreasing"
"293","decreasing"
"294","decreasing"
"295","decreasing"
"296","decreasing"
"297","decreasing"
"298","decreasing"
"299","decreasing"
"300","decreasing"
