"","qq.epoch"
"1","low"
"2","low"
"3","low"
"4","low"
"5","low"
"6","low"
"7","increasing"
"8","increasing"
"9","increasing"
"10","increasing"
"11","increasing"
"12","increasing"
"13","high"
"14","decreasing"
"15","decreasing"
"16","decreasing"
"17","decreasing"
"18","decreasing"
"19","decreasing"
"20","decreasing"
"21","decreasing"
"22","decreasing"
"23","decreasing"
"24","low"
"25","low"
"26","low"
"27","low"
"28","low"
"29","low"
"30","low"
"31","increasing"
"32","increasing"
"33","increasing"
"34","increasing"
"35","increasing"
"36","increasing"
"37","increasing"
"38","increasing"
"39","high"
"40","decreasing"
"41","decreasing"
"42","decreasing"
"43","decreasing"
"44","decreasing"
"45","decreasing"
"46","decreasing"
"47","decreasing"
"48","decreasing"
"49","decreasing"
"50","decreasing"
"51","decreasing"
"52","decreasing"
"53","decreasing"
"54","low"
"55","low"
"56","low"
"57","low"
"58","low"
"59","low"
"60","low"
"61","low"
"62","increasing"
"63","increasing"
"64","increasing"
"65","increasing"
"66","increasing"
"67","increasing"
"68","increasing"
"69","increasing"
"70","increasing"
"71","increasing"
"72","increasing"
"73","increasing"
"74","high"
"75","decreasing"
"76","decreasing"
"77","decreasing"
"78","decreasing"
"79","decreasing"
"80","decreasing"
"81","decreasing"
"82","decreasing"
"83","decreasing"
"84","low"
"85","low"
"86","low"
"87","low"
"88","low"
"89","low"
"90","low"
"91","increasing"
"92","increasing"
"93","increasing"
"94","increasing"
"95","increasing"
"96","increasing"
"97","increasing"
"98","increasing"
"99","increasing"
"100","increasing"
"101","increasing"
"102","increasing"
"103","increasing"
"104","increasing"
"105","increasing"
"106","high"
"107","decreasing"
"108","decreasing"
"109","decreasing"
"110","decreasing"
"111","decreasing"
"112","decreasing"
"113","decreasing"
"114","decreasing"
"115","decreasing"
"116","low"
"117","low"
"118","low"
"119","low"
"120","low"
"121","low"
"122","low"
"123","low"
"124","low"
"125","low"
"126","low"
"127","low"
"128","low"
"129","low"
"130","low"
"131","increasing"
"132","increasing"
"133","increasing"
"134","increasing"
"135","increasing"
"136","increasing"
"137","increasing"
"138","increasing"
"139","increasing"
"140","increasing"
"141","increasing"
"142","increasing"
"143","increasing"
"144","increasing"
"145","high"
"146","decreasing"
"147","decreasing"
"148","decreasing"
"149","decreasing"
"150","decreasing"
"151","decreasing"
"152","decreasing"
"153","decreasing"
"154","decreasing"
"155","low"
"156","low"
"157","low"
"158","low"
"159","low"
"160","low"
"161","low"
"162","low"
"163","increasing"
"164","increasing"
"165","increasing"
"166","increasing"
"167","increasing"
"168","increasing"
"169","increasing"
"170","increasing"
"171","increasing"
"172","increasing"
"173","high"
"174","decreasing"
"175","decreasing"
"176","decreasing"
"177","decreasing"
"178","decreasing"
"179","decreasing"
"180","low"
"181","low"
"182","low"
"183","low"
"184","low"
"185","low"
"186","low"
"187","low"
"188","low"
"189","low"
"190","increasing"
"191","increasing"
"192","increasing"
"193","increasing"
"194","increasing"
"195","increasing"
"196","increasing"
"197","increasing"
"198","increasing"
"199","increasing"
"200","increasing"
"201","increasing"
"202","high"
"203","decreasing"
"204","decreasing"
"205","decreasing"
"206","decreasing"
"207","decreasing"
"208","decreasing"
"209","low"
"210","low"
"211","low"
"212","low"
"213","low"
"214","low"
"215","low"
"216","low"
"217","low"
"218","low"
"219","low"
"220","low"
"221","increasing"
"222","increasing"
"223","increasing"
"224","increasing"
"225","increasing"
"226","increasing"
"227","increasing"
"228","high"
"229","decreasing"
"230","decreasing"
"231","decreasing"
"232","decreasing"
"233","decreasing"
"234","decreasing"
"235","decreasing"
"236","decreasing"
"237","decreasing"
"238","low"
"239","low"
"240","low"
"241","low"
"242","low"
"243","increasing"
"244","increasing"
"245","increasing"
"246","increasing"
"247","increasing"
"248","increasing"
"249","increasing"
"250","increasing"
"251","increasing"
"252","increasing"
"253","increasing"
"254","increasing"
"255","increasing"
"256","increasing"
"257","high"
"258","decreasing"
"259","decreasing"
"260","decreasing"
"261","decreasing"
"262","decreasing"
"263","decreasing"
"264","low"
"265","low"
"266","low"
"267","low"
"268","low"
"269","low"
"270","low"
"271","increasing"
"272","increasing"
"273","increasing"
"274","increasing"
"275","increasing"
"276","increasing"
"277","increasing"
"278","increasing"
"279","increasing"
"280","increasing"
"281","increasing"
"282","increasing"
"283","increasing"
"284","increasing"
"285","high"
"286","decreasing"
"287","decreasing"
"288","decreasing"
"289","decreasing"
"290","decreasing"
"291","decreasing"
"292","decreasing"
"293","decreasing"
"294","low"
"295","low"
"296","low"
"297","low"
"298","low"
"299","low"
"300","low"
