alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,1000,1,0.536837131833111
0.5,0.5,1,0.99,10,20,1000,2,0.488514359477766
0.5,0.5,1,0.99,10,20,1000,3,0.516223519191012
0.5,0.5,1,0.99,10,20,1000,4,0.569460633049272
0.5,0.5,1,0.99,10,20,1000,5,0.554992947487368
0.5,0.5,1,0.99,10,20,1000,6,0.471541157740848
0.5,0.5,1,0.99,10,20,1000,7,0.463351295787131
0.5,0.5,1,0.99,10,20,1000,8,0.573268738560772
0.5,0.5,1,0.99,10,20,1000,9,0.490379633210399
0.5,0.5,1,0.99,10,20,1000,10,0.522415546185657
