alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,998,1,0.45611630725629
0.5,0.5,1,0.99,10,20,998,2,0.532924163633399
0.5,0.5,1,0.99,10,20,998,3,0.389865296433514
0.5,0.5,1,0.99,10,20,998,4,0.440962725824601
0.5,0.5,1,0.99,10,20,998,5,0.327183931185733
0.5,0.5,1,0.99,10,20,998,6,0.443740239358033
0.5,0.5,1,0.99,10,20,998,7,0.425769123039875
0.5,0.5,1,0.99,10,20,998,8,0.392833220124969
0.5,0.5,1,0.99,10,20,998,9,0.56991571885458
0.5,0.5,1,0.99,10,20,998,10,0.311236309691344
0.5,0.5,1,0.99,10,20,998,11,0.41448163452267
0.5,0.5,1,0.99,10,20,998,12,0.50947054605431
0.5,0.5,1,0.99,10,20,998,13,0.518318813220607
0.5,0.5,1,0.99,10,20,998,14,0.47625743411767
0.5,0.5,1,0.99,10,20,998,15,0.522934710653825
0.5,0.5,1,0.99,10,20,998,16,0.497616343435155
0.5,0.5,1,0.99,10,20,998,17,0.414027990370485
0.5,0.5,1,0.99,10,20,998,18,0.514046693872196
0.5,0.5,1,0.99,10,20,998,19,0.390729366082574
0.5,0.5,1,0.99,10,20,998,20,0.486877461281436
0.5,0.5,1,0.99,10,20,998,21,0.476458591229676
0.5,0.5,1,0.99,10,20,998,22,0.532912312012869
0.5,0.5,1,0.99,10,20,998,23,0.472634370217187
0.5,0.5,1,0.99,10,20,998,24,0.379185970735922
0.5,0.5,1,0.99,10,20,998,25,0.389822955984551
0.5,0.5,1,0.99,10,20,998,26,0.309344416534148
0.5,0.5,1,0.99,10,20,998,27,0.521280688895575
0.5,0.5,1,0.99,10,20,998,28,0.460529019037267
0.5,0.5,1,0.99,10,20,998,29,0.467717658611276
0.5,0.5,1,0.99,10,20,998,30,0.451520060633391
0.5,0.5,1,0.99,10,20,998,31,0.489924282333067
0.5,0.5,1,0.99,10,20,998,32,0.400458910902741
0.5,0.5,1,0.99,10,20,998,33,0.429611230897375
0.5,0.5,1,0.99,10,20,998,34,0.542344841955509
0.5,0.5,1,0.99,10,20,998,35,0.435412655543138
0.5,0.5,1,0.99,10,20,998,36,0.436676457004732
0.5,0.5,1,0.99,10,20,998,37,0.416984129170666
0.5,0.5,1,0.99,10,20,998,38,0.486283712533348
0.5,0.5,1,0.99,10,20,998,39,0.452657318209995
0.5,0.5,1,0.99,10,20,998,40,0.471314745618387
0.5,0.5,1,0.99,10,20,998,41,0.484332116052153
0.5,0.5,1,0.99,10,20,998,42,0.47063095327031
0.5,0.5,1,0.99,10,20,998,43,0.451476665229044
0.5,0.5,1,0.99,10,20,998,44,0.483599825634749
0.5,0.5,1,0.99,10,20,998,45,0.518178793534574
0.5,0.5,1,0.99,10,20,998,46,0.467537208105633
0.5,0.5,1,0.99,10,20,998,47,0.462301567206714
0.5,0.5,1,0.99,10,20,998,48,0.489333077437564
0.5,0.5,1,0.99,10,20,998,49,0.477046786627278
0.5,0.5,1,0.99,10,20,998,50,0.490696568994867
0.5,0.5,1,0.99,10,20,998,51,0.471996391318499
0.5,0.5,1,0.99,10,20,998,52,0.46931128041253
0.5,0.5,1,0.99,10,20,998,53,0.484508259148493
0.5,0.5,1,0.99,10,20,998,54,0.449654912956139
0.5,0.5,1,0.99,10,20,998,55,0.451249252577628
0.5,0.5,1,0.99,10,20,998,56,0.491744924519082
0.5,0.5,1,0.99,10,20,998,57,0.44146668480403
0.5,0.5,1,0.99,10,20,998,58,0.442919718161969
0.5,0.5,1,0.99,10,20,998,59,0.581689821664634
0.5,0.5,1,0.99,10,20,998,60,0.444559531085906
0.5,0.5,1,0.99,10,20,998,61,0.397736740296701
0.5,0.5,1,0.99,10,20,998,62,0.373714073382754
0.5,0.5,1,0.99,10,20,998,63,0.529511306772091
0.5,0.5,1,0.99,10,20,998,64,0.471901536762861
0.5,0.5,1,0.99,10,20,998,65,0.433867067757291
0.5,0.5,1,0.99,10,20,998,66,0.444059694254925
0.5,0.5,1,0.99,10,20,998,67,0.511992545468815
0.5,0.5,1,0.99,10,20,998,68,0.441602849261215
0.5,0.5,1,0.99,10,20,998,69,0.506218808240998
0.5,0.5,1,0.99,10,20,998,70,0.460665679568927
0.5,0.5,1,0.99,10,20,998,71,0.469538583492229
0.5,0.5,1,0.99,10,20,998,72,0.45966652462128
0.5,0.5,1,0.99,10,20,998,73,0.438644497116107
0.5,0.5,1,0.99,10,20,998,74,0.426311603136983
0.5,0.5,1,0.99,10,20,998,75,0.471910525314639
0.5,0.5,1,0.99,10,20,998,76,0.480052609725519
0.5,0.5,1,0.99,10,20,998,77,0.427618838933149
0.5,0.5,1,0.99,10,20,998,78,0.384769744865817
0.5,0.5,1,0.99,10,20,998,79,0.516839256786374
0.5,0.5,1,0.99,10,20,998,80,0.439563450238043
0.5,0.5,1,0.99,10,20,998,81,0.475547956321168
0.5,0.5,1,0.99,10,20,998,82,0.543263686518965
0.5,0.5,1,0.99,10,20,998,83,0.473635846037901
0.5,0.5,1,0.99,10,20,998,84,0.505584011364359
0.5,0.5,1,0.99,10,20,998,85,0.435642926825391
0.5,0.5,1,0.99,10,20,998,86,0.458761567612306
0.5,0.5,1,0.99,10,20,998,87,0.474137480248355
0.5,0.5,1,0.99,10,20,998,88,0.550258254987096
0.5,0.5,1,0.99,10,20,998,89,0.407222648300108
0.5,0.5,1,0.99,10,20,998,90,0.388953345100848
0.5,0.5,1,0.99,10,20,998,91,0.424446006410692
0.5,0.5,1,0.99,10,20,998,92,0.397921491365885
0.5,0.5,1,0.99,10,20,998,93,0.569235841578776
0.5,0.5,1,0.99,10,20,998,94,0.458573743928551
0.5,0.5,1,0.99,10,20,998,95,0.499159937291424
0.5,0.5,1,0.99,10,20,998,96,0.474286482129593
0.5,0.5,1,0.99,10,20,998,97,0.519713808124239
0.5,0.5,1,0.99,10,20,998,98,0.38167226204496
0.5,0.5,1,0.99,10,20,998,99,0.320473721050051
0.5,0.5,1,0.99,10,20,998,100,0.480006413734645
