alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,222,1,0.492697464831971
0.5,0.5,1,0.99,10,20,222,2,0.492697464831971
0.5,0.5,1,0.99,10,20,222,3,0.492697464831971
0.5,0.5,1,0.99,10,20,222,4,0.492697464831971
0.5,0.5,1,0.99,10,20,222,5,0.492697464831971
0.5,0.5,1,0.99,10,20,222,6,0.492697464831971
0.5,0.5,1,0.99,10,20,222,7,0.492697464831971
0.5,0.5,1,0.99,10,20,222,8,0.492697464831971
0.5,0.5,1,0.99,10,20,222,9,0.492697464831971
0.5,0.5,1,0.99,10,20,222,10,0.492697464831971
0.5,0.5,1,0.99,10,20,222,11,0.492697464831971
0.5,0.5,1,0.99,10,20,222,12,0.492697464831971
0.5,0.5,1,0.99,10,20,222,13,0.492697464831971
0.5,0.5,1,0.99,10,20,222,14,0.492697464831971
0.5,0.5,1,0.99,10,20,222,15,0.492697464831971
0.5,0.5,1,0.99,10,20,222,16,0.492697464831971
0.5,0.5,1,0.99,10,20,222,17,0.492697464831971
0.5,0.5,1,0.99,10,20,222,18,0.492697464831971
0.5,0.5,1,0.99,10,20,222,19,0.492697464831971
0.5,0.5,1,0.99,10,20,222,20,0.492697464831971
0.5,0.5,1,0.99,10,20,222,21,0.492697464831971
0.5,0.5,1,0.99,10,20,222,22,0.492697464831971
0.5,0.5,1,0.99,10,20,222,23,0.492697464831971
0.5,0.5,1,0.99,10,20,222,24,0.492697464831971
0.5,0.5,1,0.99,10,20,222,25,0.492697464831971
0.5,0.5,1,0.99,10,20,222,26,0.492697464831971
0.5,0.5,1,0.99,10,20,222,27,0.492697464831971
0.5,0.5,1,0.99,10,20,222,28,0.492697464831971
0.5,0.5,1,0.99,10,20,222,29,0.492697464831971
0.5,0.5,1,0.99,10,20,222,30,0.492697464831971
0.5,0.5,1,0.99,10,20,222,31,0.492697464831971
0.5,0.5,1,0.99,10,20,222,32,0.492697464831971
0.5,0.5,1,0.99,10,20,222,33,0.492697464831971
0.5,0.5,1,0.99,10,20,222,34,0.492697464831971
0.5,0.5,1,0.99,10,20,222,35,0.492697464831971
0.5,0.5,1,0.99,10,20,222,36,0.492697464831971
0.5,0.5,1,0.99,10,20,222,37,0.492697464831971
0.5,0.5,1,0.99,10,20,222,38,0.492697464831971
0.5,0.5,1,0.99,10,20,222,39,0.492697464831971
0.5,0.5,1,0.99,10,20,222,40,0.492697464831971
0.5,0.5,1,0.99,10,20,222,41,0.492697464831971
0.5,0.5,1,0.99,10,20,222,42,0.492697464831971
0.5,0.5,1,0.99,10,20,222,43,0.492697464831971
0.5,0.5,1,0.99,10,20,222,44,0.492697464831971
0.5,0.5,1,0.99,10,20,222,45,0.492697464831971
0.5,0.5,1,0.99,10,20,222,46,0.492697464831971
0.5,0.5,1,0.99,10,20,222,47,0.492697464831971
0.5,0.5,1,0.99,10,20,222,48,0.492697464831971
0.5,0.5,1,0.99,10,20,222,49,0.492697464831971
0.5,0.5,1,0.99,10,20,222,50,0.492697464831971
0.5,0.5,1,0.99,10,20,222,51,0.492697464831971
0.5,0.5,1,0.99,10,20,222,52,0.492697464831971
0.5,0.5,1,0.99,10,20,222,53,0.492697464831971
0.5,0.5,1,0.99,10,20,222,54,0.492697464831971
0.5,0.5,1,0.99,10,20,222,55,0.492697464831971
0.5,0.5,1,0.99,10,20,222,56,0.492697464831971
0.5,0.5,1,0.99,10,20,222,57,0.492697464831971
0.5,0.5,1,0.99,10,20,222,58,0.492697464831971
0.5,0.5,1,0.99,10,20,222,59,0.492697464831971
0.5,0.5,1,0.99,10,20,222,60,0.492697464831971
