alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,204,1,0.370299639095644
0.5,0.5,1,0.99,10,20,204,2,0.271787101353657
0.5,0.5,1,0.99,10,20,204,3,0.46876603346718
0.5,0.5,1,0.99,10,20,204,4,0.514994098917992
0.5,0.5,1,0.99,10,20,204,5,0.461816047980705
0.5,0.5,1,0.99,10,20,204,6,0.484418977026779
0.5,0.5,1,0.99,10,20,204,7,0.398827690721021
0.5,0.5,1,0.99,10,20,204,8,0.488183899791382
0.5,0.5,1,0.99,10,20,204,9,0.505032031314878
0.5,0.5,1,0.99,10,20,204,10,0.534975397932883
