alpha,gamma,beta,epsilon_u,block_length,low_avg,iteration,seed,r
0.5,0.5,1,0.99,10,20,206,1,0.562953436279678
0.5,0.5,1,0.99,10,20,206,2,0.562953436279678
0.5,0.5,1,0.99,10,20,206,3,0.562953436279678
0.5,0.5,1,0.99,10,20,206,4,0.562953436279678
0.5,0.5,1,0.99,10,20,206,5,0.562953436279678
0.5,0.5,1,0.99,10,20,206,6,0.562953436279678
0.5,0.5,1,0.99,10,20,206,7,0.562953436279678
0.5,0.5,1,0.99,10,20,206,8,0.562953436279678
0.5,0.5,1,0.99,10,20,206,9,0.562953436279678
0.5,0.5,1,0.99,10,20,206,10,0.562953436279678
0.5,0.5,1,0.99,10,20,206,11,0.562953436279678
0.5,0.5,1,0.99,10,20,206,12,0.562953436279678
0.5,0.5,1,0.99,10,20,206,13,0.562953436279678
0.5,0.5,1,0.99,10,20,206,14,0.562953436279678
0.5,0.5,1,0.99,10,20,206,15,0.562953436279678
0.5,0.5,1,0.99,10,20,206,16,0.562953436279678
0.5,0.5,1,0.99,10,20,206,17,0.562953436279678
0.5,0.5,1,0.99,10,20,206,18,0.562953436279678
0.5,0.5,1,0.99,10,20,206,19,0.562953436279678
0.5,0.5,1,0.99,10,20,206,20,0.562953436279678
0.5,0.5,1,0.99,10,20,206,21,0.562953436279678
0.5,0.5,1,0.99,10,20,206,22,0.562953436279678
0.5,0.5,1,0.99,10,20,206,23,0.562953436279678
0.5,0.5,1,0.99,10,20,206,24,0.562953436279678
0.5,0.5,1,0.99,10,20,206,25,0.562953436279678
0.5,0.5,1,0.99,10,20,206,26,0.562953436279678
0.5,0.5,1,0.99,10,20,206,27,0.562953436279678
0.5,0.5,1,0.99,10,20,206,28,0.562953436279678
0.5,0.5,1,0.99,10,20,206,29,0.562953436279678
0.5,0.5,1,0.99,10,20,206,30,0.562953436279678
0.5,0.5,1,0.99,10,20,206,31,0.562953436279678
0.5,0.5,1,0.99,10,20,206,32,0.562953436279678
0.5,0.5,1,0.99,10,20,206,33,0.562953436279678
0.5,0.5,1,0.99,10,20,206,34,0.562953436279678
0.5,0.5,1,0.99,10,20,206,35,0.562953436279678
0.5,0.5,1,0.99,10,20,206,36,0.562953436279678
0.5,0.5,1,0.99,10,20,206,37,0.562953436279678
0.5,0.5,1,0.99,10,20,206,38,0.562953436279678
0.5,0.5,1,0.99,10,20,206,39,0.562953436279678
0.5,0.5,1,0.99,10,20,206,40,0.562953436279678
0.5,0.5,1,0.99,10,20,206,41,0.562953436279678
0.5,0.5,1,0.99,10,20,206,42,0.562953436279678
0.5,0.5,1,0.99,10,20,206,43,0.562953436279678
0.5,0.5,1,0.99,10,20,206,44,0.562953436279678
0.5,0.5,1,0.99,10,20,206,45,0.562953436279678
0.5,0.5,1,0.99,10,20,206,46,0.562953436279678
0.5,0.5,1,0.99,10,20,206,47,0.562953436279678
0.5,0.5,1,0.99,10,20,206,48,0.562953436279678
0.5,0.5,1,0.99,10,20,206,49,0.562953436279678
0.5,0.5,1,0.99,10,20,206,50,0.562953436279678
0.5,0.5,1,0.99,10,20,206,51,0.562953436279678
0.5,0.5,1,0.99,10,20,206,52,0.562953436279678
0.5,0.5,1,0.99,10,20,206,53,0.562953436279678
0.5,0.5,1,0.99,10,20,206,54,0.562953436279678
0.5,0.5,1,0.99,10,20,206,55,0.562953436279678
0.5,0.5,1,0.99,10,20,206,56,0.562953436279678
0.5,0.5,1,0.99,10,20,206,57,0.562953436279678
0.5,0.5,1,0.99,10,20,206,58,0.562953436279678
0.5,0.5,1,0.99,10,20,206,59,0.562953436279678
0.5,0.5,1,0.99,10,20,206,60,0.562953436279678
0.5,0.5,1,0.99,10,20,206,61,0.562953436279678
0.5,0.5,1,0.99,10,20,206,62,0.562953436279678
0.5,0.5,1,0.99,10,20,206,63,0.562953436279678
0.5,0.5,1,0.99,10,20,206,64,0.562953436279678
0.5,0.5,1,0.99,10,20,206,65,0.562953436279678
0.5,0.5,1,0.99,10,20,206,66,0.562953436279678
0.5,0.5,1,0.99,10,20,206,67,0.562953436279678
0.5,0.5,1,0.99,10,20,206,68,0.562953436279678
0.5,0.5,1,0.99,10,20,206,69,0.562953436279678
0.5,0.5,1,0.99,10,20,206,70,0.562953436279678
0.5,0.5,1,0.99,10,20,206,71,0.562953436279678
0.5,0.5,1,0.99,10,20,206,72,0.562953436279678
0.5,0.5,1,0.99,10,20,206,73,0.562953436279678
0.5,0.5,1,0.99,10,20,206,74,0.562953436279678
0.5,0.5,1,0.99,10,20,206,75,0.562953436279678
0.5,0.5,1,0.99,10,20,206,76,0.562953436279678
0.5,0.5,1,0.99,10,20,206,77,0.562953436279678
0.5,0.5,1,0.99,10,20,206,78,0.562953436279678
0.5,0.5,1,0.99,10,20,206,79,0.562953436279678
0.5,0.5,1,0.99,10,20,206,80,0.562953436279678
0.5,0.5,1,0.99,10,20,206,81,0.562953436279678
0.5,0.5,1,0.99,10,20,206,82,0.562953436279678
0.5,0.5,1,0.99,10,20,206,83,0.562953436279678
0.5,0.5,1,0.99,10,20,206,84,0.562953436279678
0.5,0.5,1,0.99,10,20,206,85,0.562953436279678
0.5,0.5,1,0.99,10,20,206,86,0.562953436279678
0.5,0.5,1,0.99,10,20,206,87,0.562953436279678
0.5,0.5,1,0.99,10,20,206,88,0.562953436279678
0.5,0.5,1,0.99,10,20,206,89,0.562953436279678
0.5,0.5,1,0.99,10,20,206,90,0.562953436279678
0.5,0.5,1,0.99,10,20,206,91,0.562953436279678
0.5,0.5,1,0.99,10,20,206,92,0.562953436279678
0.5,0.5,1,0.99,10,20,206,93,0.562953436279678
0.5,0.5,1,0.99,10,20,206,94,0.562953436279678
0.5,0.5,1,0.99,10,20,206,95,0.562953436279678
0.5,0.5,1,0.99,10,20,206,96,0.562953436279678
0.5,0.5,1,0.99,10,20,206,97,0.562953436279678
0.5,0.5,1,0.99,10,20,206,98,0.562953436279678
0.5,0.5,1,0.99,10,20,206,99,0.562953436279678
0.5,0.5,1,0.99,10,20,206,100,0.562953436279678
